titles;target
Какую еду нельзя разогревать в микроволновке: прибор сгорит сразу же;1
«Поэтому и вернулась…»: друг Пугачевой рассказал, зачем певица вновь приехала в Россию;1
Россиянам рассказали, как изменятся цены на электроэнергию в 2024 году;1
Приехала, чтоб написать завещание: стало известно, для чего Пугачева вернулась в Россию;1
Зачем хитрые хозяйки добавляют скорлупу яиц, когда варят кофе: попробуйте, результат вас удивит;1
Назван самый опасный завтрак для пожилых людей;1
Замок в Грязи рядом не стоял: появилось первое фото из новой квартиры Пугачевой;1
«Завещание давно составлено»: беглая Пугачева основательно подготовилась к неизбежному;1
Притягивают взгляд: Королева выставила напоказ сочные груди (фото);1
С Игорем Николаевым россиянам придется распрощаться: теперь удастся послушать только в записи;1
Теперь девочкам такие имена не дают: вот как на самом деле зовут Дарью Донцову;1
Тайное стало явным: Пугачева перезахоронила родных;1
Обрела счастье с японцем: сложно поверить, c кем связала свою жизнь Немоляева из «Курьера»;1
«Капризный, злой»: молодая фаворитка раскрыла истинную сущность Киркорова;1
Оболгали на всю страну: Клара Новикова внесла ясность в слухи о своей пропаже;1
Все в паутине, дети странные: от происходящего в доме Киркорова мурашки по коже (фото);1
Два по цене одного: всплыла правда о заработках Баскова;1
Итальянец развелся с женой после 77 лет брака: обомлеете, узнав причину;1
Скрывала лицо: раскрыты тревожные подробности возвращения Пугачевой;1
Бросила детей и мужа: Пугачева сделала неожиданный выбор;1
«Письмо тотемами»: тайна зашифрованного послания Ленина;1
Размер пособия по безработице сильно вырос в Казахстане;1
Повысят ли тарифы на электроэнергию в Казахстане, ответил Саткалиев;1
Ветеранам Великой Отечественной хотят ежегодно повышать выплаты к 9 Мая;1
Что сделала Пугачева сразу после прибытия в Россию: появились подробности;1
Кроха из «Закрытой школы» вышла замуж: вот как она выглядит сейчас;1
Примадонна снова с Киркоровым: больше никому не нужна;1
Указ подписан. Всех, у кого есть автомобиль или квартира, ждет неожиданный сюрприз с 3 ноября;1
Указ подписан. Всех, у кого есть квартира с ремонтом, ждет большой сюрприз с 3 ноября;1
«Теперь проверят каждого». Пенсионеров, которым от 60 до 85 лет, ждет большой сюрприз с 3 ноября;1
Пенсионеров, у которых нет дохода, кроме пенсии, ждет большой сюрприз с 3 ноября;1
Будет обнуление. Всех, у кого есть банковский вклад, ждет сюрприз с 4 ноября;1
Указ подписан. Пенсионеров, которые накопили стаж с 2002 по 2014 год, ждет сюрприз с 4 ноября;1
«Придет другая сумма». Всех, кто получает пенсию на банковскую карту, ждет сюрприз с 4 ноября;1
В окружении Пугачевой назвали причину ее возвращения в Россию;1
Кремль отреагировал на возвращение Пугачевой в Москву;1
Как изменились тарифы на проезд в транспорте Ташкента — инфографика;1
Ведущая Первого канала поглумилась над Пугачевой в Москве;1
Путин рассказал, что является судьбоносной задачей России;1
Илья Резник сделал заявление в связи с возвращением Пугачевой в Россию;1
Помощница Пугачевой высказалась о сроке пребывания певицы в России;1
Алла Пугачева приехала в Москву: эксклюзивные кадры;1
Алла Пугачева по-тихому вернулась в Россию;1
Алла Пугачева пересекла границу России;1
«Зима будет просто адовая». Синоптики сказали, к чему нужно готовиться;1
Аномалий не избежать. Синоптики сказали, чего ждать от ноября;1
«Декабрь, январь и февраль будут сумасшедшими». Синоптики сказали, к чему готовиться;1
Вот чем можно заменить мясо в пельменях: об этом рецепте знали единицы;1
Все 366 дней будут полны проблем: в какой одежде не стоит встречать Новый год 2024;1
Для чего горничные оставляют соль на пороге: точно не от нечисти, хитрость - в другом;1
Ощутят все радости: в 2024 году вырастут сразу две пенсии;1
Ни в коем случае не сажайте это дерево на дачном участке: приносит только смерть и несчастья;1
Новая финансовая поддержка для россиян: с 1 ноября будут зачислять на карту по 12 500 рублей;1
Пенсионеры ликуют: со 2 ноября будут зачислены удержанные за 2018-2022 суммы;1
Зачем опытные хозяйки кладут в шкаф с одеждой соль и чай: вы удивитесь, но точно попробуете;1
Стало известно о неожиданной пользе червивых грибов;1
Почему в школах СССР запрещали носить сережки: вы удивитесь, узнав правду;1
Поищите ее у своих бабушек и дедушек: эта монета СССР стоит 10 миллионов рублей;1
Избавьтесь от них немедленно: эти вещи притягивают в дом негативную энергию и бедность;1
Эта еда нанесет вред сердцу: срочно исключите ее из рациона;1
Секрет раскрыт: как приготовить молочный коктейль из СССР, который все обожали;1
Никогда не варите яйца: полезные свойства испаряются из-за высоких температур;1
Чем заменить картофель в разных блюдах: 5 доступных и вкусных альтернатив;1
Этот витамин приводит к образованию тромбоза;1
Намного вкуснее и в два раза быстрее: секретный способ приготовления жареной картошки;1
Эти продукты отнимут годы вашей драгоценной жизни: исключите их из рациона;1
Пенсии не будет, если не предоставить эту справку: пожилым гражданам РФ сообщили важную новость;1
Как очистить батарею от пыли: легкий и доступный способ для домохозяек;1
Решение принято: эти пенсионеры получат дополнительно по 10 тысяч рублей в феврале;1
Календарь магнитных бурь в ноябре 2023 года: названы самые опасные дни;1
Пенсия придет в другое время: пожилых россиян уведомили о новом графике;1
«Мне так хорошо»: 76-летняя Клара Новикова впервые заговорила о молодом любовнике;1
Сучившееся с Пугачевой Ванга предсказала десятки лет назад: после такого трудно не верить в мистику;1
Пугачева впервые за долгое время вышла на связь: вот что она сказала народу;1
Самая красивая девочка: маленькая дочь все меньше похожа на Пугачеву (фото);1
Продукты раздают, а самое странное сохраняют: самые дикие экспонаты музея капитал-шоу «Поле чудес»;1
Российская бабушка раскрыла, как ей удалось дожить до 97 лет в здравом уме и светлой памяти;1
Россияне едят этот овощ килограммами: Мясников объяснил, кому его нельзя;1
Пользы нет, калорий масса: эту кашу Мясников называет самой вредной;1
Вводится порядок назначения пенсии без необходимости личного обращения граждан;1
Что изменилось в законодательстве Узбекистана с 1 ноября;1
Должна быть примерно 200-210 тысяч тенге: депутат предложил повысить размер МЗП в Казахстане;1
Соцвыплаты будут получать шахтеры после 55 лет в Казахстане;1
Экономист назвала пособия, которые вырастут с 2024 года;1
Врач рассказал, сколько можно съесть тыквы в день;1
С сегодняшнего дня: Сбербанк предупредил всех россиян, кто оставляет деньги на карте;1
На карту зачислят по 12 500 рублей: кто 1-2 ноября получит новое пособие от ПФР;1
Указ подписан. Пенсионерам со 2 ноября зачислят на карты удержанные за 2018-2022 суммы;1
Вот для чего нужна петелька на обуви сзади — об этом знают считанные люди;1
Вмиг похудеете: включите эту пряность в свой рацион питания;1
Этого продукта не должно быть на вашем столе: полный набор, который запускает рак и диабет;1
С чем опасно есть укроп и петрушку: могут привести к сгущению крови;1
Забудьте про макароны и гречку: самый полезный гарнир, о котором вы не слышали;1
Самый полезный бульон для разжижения крови и укрепления сердца: варите только так;1
Врач назвала ценный фрукт, нормализующий уровень холестерина в крови;1
Самые полезные орехи для пожилых, которые есть в каждом магазине;1
Что надо есть для здоровья щитовидки: налегайте на эти продукты;1
Защищает от рака и помогает худеть: этот напиток из СССР незаслуженно забыли, и зря;1
Только так нужно питаться в пожилом возрасте: от некоторых продуктов стоит отказаться;1
Какие супы очень опасны: могут спровоцировать развитие серьезных заболеваний;1
Решение принято: держателям банковской карты «Мир» начислят денежный бонус до 1 ноября;1
Проект поддержан: неработающим российским пенсионерам увеличат пенсии;1
Экономист оценил уровень повышения пенсий россиян в 2024 году;1
Этим россиянкам разрешили выходить на пенсию в 50 лет;1
Будут ли индексироваться пенсии работающих пенсионеров? Ответ дали в Госдуме;1
Зеркала останутся чистыми надолго: в чем причины разводов на стеклах и как их избежать;1
Мера поддержки: в России молодым специалистам выплатят до 440 тысяч рублей каждому;1
Главная ошибка, которая приводит к загустению крови: это грозит инфарктом и тромбозом;1
5 способов побороть зависимость от еды: эффективность вас поразит;1
Как городским, так и сельским: пенсионерам увеличат размер выплаты за длительный стаж;1
Никогда не выливайте воду после варки картофеля: эта жидкость буквально на вес золота;1
Просто положите три лавровых листа в наволочку — лишь единицы знают, чем все закончится;1
По 15 000 рублей для пенсионеров РФ: с 1 ноября пожилых россиян ждет денежный сюрприз;1
Просто поищите: 3 советские монеты, которые можно продать от 100 тысяч рублей;1
Сердце будет работать, как у молодого: врач дал дельный совет для граждан всех возрастов;1
Почему нельзя заправлять машину до полного бака: частая ошибка автомобилистов;1
Решение принято на высшем уровне: пенсионерам проиндексируют выплаты на 20 процентов;1
Указ подписан: пенсионеров, у кого пенсия ниже 15578 рублей, ждет новая льгота;1
У пожилых россиян с ноября вырастут пенсии: кому положен перерасчет?;1
Обязательно передайте пожилым: названы даты мощных магнитных бурь в ноябре;1
Почему в наше время луковая шелуха стала на вес золота: ответ знают опытные дачники;1
Можно вернуть до 50%: многие инвалиды даже не знают, что у них есть такие льготы;1
Россиянам озвучили способы сэкономить на счетах за воду;1
Как порезать лук без слез: проверенный метод от опытных поваров;1
Каждый пожилой человек должен делать это, чтоб избежать многих болезней;1
Бабушкин рецепт пельменей: получится действительно вкусно;1
Способ от японских домохозяек, который следует перенять: полотенца станут как новые;1
Мясо кролика, грибы и еще 3 продукта, которых не должно быть на столе в новогоднюю ночь;1
Госдума будет индексировать выплаты работающим пенсионерам: «Они очень нужны в экономике»;1
1000 рублей за поход в магазин: российских пенсионеров ждет новый сюрприз с 30 октября;1
Указ подписан. Получателей пенсий и соцвыплат ждет большой сюрприз с 30 октября;1
Пенсионерам и не только: подписан указ о новой льготе, которая затронет многих россиян;1
Сколько литров воды нужно выпивать человеку в день: доктор Гинзбург дал честный ответ;1
Никогда не совершайте такие переводы по карте - заблокируют и начнутся проблемы;1
Чем отличаются белый, желтый, красный виды картофеля: правду знают единицы;1
Двойное увеличение пенсий: пожилых россиян обрадовали очередным повышением выплат;1
Если надоела яичница: полезный и вкусный завтрак, который вы точно никогда не готовили;1
В зоне риска многие: назван возраст, в котором чаще всего может поразить инсульт;1
Решение принято, сроки установлены: в России пенсионный возраст снижается на 5 лет;1
«Повлечет реальный рост»: в Госдуме нашли новый источник увеличения пенсий;1
Государство позаботится о здоровье пожилых: пенсионеров ждет новая льгота с 31 октября;1
Решение принято: в 2024 году в России повысят пенсии – узнайте, сколько вам будут платить;1
Болеть станет выгоднее: стало известно, во сколько раз увеличатся выплаты по больничному;1
Восстановят печень и предотвратят развитие раковых заболеваний: 3 напитка, которые укрепят здоровье;1
Эти продукты должны быть в рационе каждого пожилого человека;1
Эффективнее любых препаратов: эти продукты моментально очищают желудок от токсинов;1
Назван продукт, который поднимает настроение и улучшает здоровье. И это не шоколад;1
Улучшит зрение и убережет от рака: этот продукт советуют есть всем и каждому;1
Эти 5 продуктов увеличивают продолжительность жизни: включите в свой рацион;1
Дешевая рыба – подарок для организма: в 100-граммовом кусочке необходимая норма белка;1
Какие супы очень опасны: об этом многие даже не догадывались;1
13-ю пенсию получат все пенсионеры: в 2023 году пожилых граждан ждет сюрприз;1
Озвучено официально: россиян, родившихся после 1961 года, предупредили насчет пенсии;1
Всем, у кого пенсия ниже 22 287 рублей: можно получить дополнительную выплату;1
Какие законы вступают в силу в конце октября и ноябре;1
Как стакан теплой воды натощак помогает организму: мало кто об этом знал;1
Указ подписан: пенсионерам назначат выплату в размере 10 000 рублей с 1 ноября;1
Как работающим, так и неработающим: пенсионеры получат приятную надбавку в ноябре;1
Почему шоколад полезен для людей старше 50 лет: способен продлить молодость и разжижает кровь;1
Сделайте это со своими очками и они никогда не запотеют в холод: 2 простых способа;1
В Госдума нашли деньги на повышение пенсий: закон уже принят;1
Доплатят к пенсии по 3 800 рублей за каждый месяц: пожилым гражданам РФ сообщили о новом бонусе;1
Что будет опасно делать в високосном 2024 году: названы 2 главных запрета;1
Все будет бесплатно: с 1 ноября для пенсионеров новые льготы;1
Долгожданный рост детских пособий: какие изменения ожидают родителей в 2024 году;1
Стресс, сбои в щитовидке и еще несколько причин потери волос;1
Как определить порчу и сглаз: основные признаки и советы;1
Кому пересчитают пенсию с 1 ноября: на индексацию могут рассчитывать несколько категорий;1
Убивают желчный пузырь: названы продукты, которые способствуют развитию хронического панкреатита;1
Снова плохие новости: серьезные проблемы со здоровьем Киркорова больше не тайна;1
Никакая не Преснякова: вот как звучит настоящая фамилия легенды «Самоцветов»;1
«В страшном сне такое не привидится»: стало известно о главном несчастье Пугачевой;1
«Живем дальше»: уехавшая на Кипр Пугачева прервала молчание, похваставшись редкими снимками детей;1
Синяк прятала за очками: всплыли пугающие подробности брака Королевой с Николаевым;1
Не своими силами: раскрыта личность того, кто протолкнул Королеву на российские экраны;1
Хоть бы прикрылась: Наташа Королева пошла против всех правил приличия (горячее фото);1
Дом Пугачевой стремительно пустеет: осталась без дочки Лизы;1
Содрогнетесь: Якубович стал напоминать раздувшегося старичка;1
«Филипп и Алла снова вместе»: фото из особняка Преснякова наделало шума;1
Одинокие дети: Пугачева сделала заявление после намеков Галкина* о разводе;1
Указ подписан. Пенсионеров, которым от 55 до 85 лет, ждет огромный сюрприз в ноябре;1
«Придет вместе с пенсией в ноябре». Всех, кто получает пенсию, ждет неожиданный сюрприз;1
Указ подписан. Пенсионерам объявили о разовой выплате 10 000 и 5000 рублей с 1 ноября;1
Не оставляйте дверцу стиральной машинки открытой, и вот почему: важно знать;1
«Немедленно вызывайте скорую»: названы основные симптомы инсульта;1
Проверено временем: эти простые суеверия помогут вам разбогатеть;1
Даже не вздумайте хранить помидоры в холодильнике: причину знают единицы;1
Не такой, как другие дети: всплыла неожиданная правда о сыне Королевой и Глушко;1
«Мне это ужасно неприятно»: Королева смешала Николаева с грязью, оболгав на всю страну;1
Больше не увидим: пропажа Распутиной наконец-то обросла деталями;1
Деревянный забор и вид на проезжую часть: появились снимки виллы Пугачевой на Кипре;1
Все родственники сидят на ее шее: ахнете, какая пенсия у Бабкиной;1
Такого никто не ждал: Орбакайте и Леонтьев приняли жесткое решение по карьере в России;1
Киркоров будет в шоколаде: обомлеете, узнав, сколько звезды получают за новогодние корпоративы;1
Пили и спасибо говорили: вот что советские проводники годами подсыпали в чай пассажирам;1
В СССР проводницы кое-что подмешивали в чай: не поверите для чего;1
Состояние критическое: отец Киркорова госпитализирован с серьезной проблемой;1
Королева раскрыла, благодаря кому она попала в известное шоу на федеральном канале;1
Креветки: чем они могут быть опасны для здоровья;1
Морковный сок: чем он вреден для здоровья;1
Чем чай в пакетиках опасен для здоровья;1
Стало известно, сколько казахстанцев получают больше 1,5 млн тенге в месяц;1
Стало известно, какая выплата от государства скоро вырастет в два раза;1
Врачи рассказали, что делать при густой крови;1
Россиянам назвали выплату, которая вырастет в два раза с 2024 года;1
Уже с сегодняшнего дня: Сбербанк предупредил всех, у кого остались деньги на карте;1
«Теперь запрещено». Всех, кто снимает деньги с банковских карт, ждет сюрприз с 29 октября;1
Каждый получит по 10 000 рублей до 1 ноября. Деньги придут на карту «Мир»;1
Указ подписан. Пенсионеров, у которых есть стаж 30 лет, ждет большой сюрприз в ноябре;1
Указ подписан. Всех, кто получает пенсию или соцвыплаты, ждет большой сюрприз с 30 октября;1
Указ подписан. Новая льгота вводится для предпенсионеров 1961–1966 года рождения;1
Теперь там будет ноль рублей: Сбербанк объявил, что вводится для всех, у кого есть карта банка;1
Всем, у кого есть деньги в рублях, дали время до середины ноября. Потом будет поздно;1
«Выставят счет на 16 500 рублей». Всех, у кого в квартире есть счетчики, ждет сюрприз с 31 октября;1
Пенсии повысят еще на 20%. Пенсионерам объявили о приятном сюрпризе;1
«Теперь запрещено». Пенсионеров, у которых есть дети или внуки, ждет сюрприз с 31 октября;1
«Теперь придется делиться». Пенсионеров, которые живут в квартире одни, ждет сюрприз с 31 октября;1
«С понедельника запретят садиться за руль»: автомобилистов ждет неожиданный сюрприз;1
Указ подписан. Всех, у кого есть наличные деньги, ждет неожиданный сюрприз с 30 октября;1
Размер небольшой, но хоть так. Эта сумма поступит всем без исключения пенсионерам с 30 октября;1
Назван овощ, который превосходит цитрусовые по содержанию витамина С;1
Первые блюда не всегда полезны: кому категорически нельзя есть щи или солянку;1
Потеряете здоровье раз и навсегда: к чему может привести употребление черемухи в пищу;1
Пожилым на заметку: этот продукт предотвратит старческое слабоумие и укрепит иммунитет;1
Эти продукты обожают пенсионеры, но они провоцируют образование холестериновых бляшек;1
Секрет вкуснейшей каши из тыквы: простой и быстрый рецепт;1
«Социальные полки»: в магазинах для пенсионеров готовят новый сюрприз;1
Указ подписан: пенсионеров, у которых есть стаж 30 лет, ждет приятный сюрприз от СФР;1
Важно успеть до 1 ноября: пенсионерам пообещали дополнительно выплатить 2500 рублей;1
Чем опасны родинки и когда из-за них стоит бить тревогу;1
«Цены вырастут на 7,5%»: глава ЦБ сделала важное заявление, которое коснется всех россиян;1
Почему в магазинах низких цен посуду продают за копейки: каждый должен знать правду;1
Важное заявление для россиян: скоро начнутся массовые зачисления свыше 20 тысяч рублей;1
Как определить испорченную колбасу, если срок годности не истек: совет пригодится абсолютно всем;1
Что будет с курсом рубля к доллару в конце 2023 года: честный прогноз аналитика;1
Обладают антираковыми свойствами: эти продукты - сильнейшие союзники здоровья;1
Несите деньги на помойку: эти купюры у вас больше не примут в магазинах;1
Указ подписан. Пенсионерам объявили о разовой выплате 6000 рублей с 27 октября;1
Загляните в трудовую книжку: одна строчка может серьезно изменить размер пенсии;1
Указ подписан: в 2024 году в России вырастут пенсии – узнайте, сколько вам будут платить;1
Индексацию ждать больше не нужно: пенсионеров ждет сюрприз в виде пересчета пенсий;1
Положите это в ящик с картофелем, и он не будет гнить до весны: хитрость, о которой знают немногие;1
Капуста и морковь пролежат всю зиму и не испортятся: хитрый трюк, как сохранить овощи;1
Больше никаких переломов и растяжений: названы лучшие блюда для укрепления костей;1
Срочно избавьтесь от трех предметов: притягивают бедность и отпугивают денежную удачу;1
Результат вас удивит: как водители используют картофель в салоне автомобиля;1
Риск обострения панкреатита: россиянам перечислили вредные свойства тыквенных семечек;1
Никогда не оставляйте чек в супермаркете: юрист рассказал, в чем опасность;1
Никогда не храните картофель в холодильнике, и вот почему: ответ экспертов вас шокирует;1
Для простых граждан множество плюсов: чего ждать россиянам от повышения ключевой ставки;1
Ни себе, ни другим: судьба элитной недвижимости Пугачевой перестала быть тайной;1
«Домой ей хочется»: портниха Пугачевой объяснила, почему та не может вернуться в Россию;1
Высоцкая раскрыла секрет идеальных пирожков: тесто тонкое, от начинки текут слюнки;1
Доктор Мясников призывает гипертоников пить крепкий кофе: вот в каких количествах;1
Слил, как в унитаз: Николаев вонзил нож в спину беззащитной Королевой;1
Лишиться детей может в любую минуту: есть один запрет, который Пугачева боится как огня;1
Брак Высоцкой оказался фиктивным: пошла на все ради карьеры;1
Хозяйки годами бились над тайной этого рецепта: вот как печь пирог Нади Клюевой;1
Бывшая жена опозорила на всю страну: Лещенко в ужасе от раскрытых тайн;1
Нервничала, обнималась: звезда шоу «Ты супер!» раскрыла детали последней встречи с Заворотнюк;1
Баня или сауна: что вреднее для здоровья;1
Ученые назвали кухонную утварь, которая провоцирует рак;1
Покинувшая Израиль Пугачева хочет вернуться в Россию;1
Сбербанк запустил вклад с самой высокой процентной ставкой;1
Больше не смогут. Всех, у кого есть банковский кредит, ждет сюрприз с 28 октября;1
«Это неизбежно»: Центробанк сообщил, что будет с вкладами россиян в ноябре;1
Пенсионеров призвали подать заявление на новое пособие. Нужно успеть до 1 ноября;1
Индексацию уберут, а пенсии пересчитают. Пенсионеров ждет неожиданный сюрприз;1
Указ подписан. Новая льгота вводится для всех пенсионеров, которым от 60 до 85 лет;1
Стало известно, кому прекратят платить пенсии в России в 2023 году;1
Путин отменил Соглашение о пенсионных правах граждан стран СНГ;1
Невероятное заявление диетолога: может ли простая колбаса вызвать онкологию?;1
Эти части курицы вызывают рак: исключите их при варке бульона;1
Под строгим запретом: эти продукты лучше не потреблять после 60 лет;1
Назван самый полезный отвар для суставов: снимает боль и воспаление за короткое время;1
Будет доступно каждому: для всех пенсионеров введут новую возможность в конце октября;1
Решение принято: пенсионеры РФ уже могут пользоваться этой льготой;1
«Это самый настоящий миф»: россиянам раскрыли правду о действии витамина C при простуде;1
Решение принято: пенсионерам, находящимся в браке, выплатят по 10 000 рублей;1
Придут деньги и успех во всех делах: эти 3 предмета обязательно принесут удачу;1
Принято официально и окончательно: пенсии в России вырастут сразу на 20%;1
Цена этой монеты СССР – 10 миллионов рублей: ваши бабушки и дедушки могут ей обладать;1
Обратите внимание на свои локти: врач раскрывает, как их состояние влияет на ваше здоровье;1
Кому повысят пенсии в 2024 году: названы категории и даты;1
Серьезная опасность здоровью: диетолог объяснила, при каких заболеваниях нельзя питаться яблоками;1
Где нужно поставить зеркало, чтобы привлечь в дом счастье и богатство;1
Не ставьте эти цветы в своем доме: они притягивают нищету, ссоры и постоянные болезни;1
Россиянам такие суммы только снятся: сколько Пугачева потратила на недвижимость за рубежом;1
Суммы налогов просто космические: особняк на Кипре обходится Пугачевой в копеечку;1
«Кончилась любовь»: что к этому моменту известно о разводе Пугачевой;1
Не только муж: известный певец признался, что содержит онкобольную Заворотнюк;1
Ванга предупреждала давно: это пророчество о Пугачевой сбылось с невероятной точностью;1
В Израиле было еще скромно: от цены квартиры Пугачевой на Кипре волосы встанут дыбом;1
Мужеподобная и с татуировками: как выглядит жена, к которой Леонтьев переехал из России в США;1
Уже окольцован: стало известно о больших переменах в жизни Киркорова;1
Не хуже, чем в Грязи: от вида американского особняка Пугачевой невольно открывается рот;1
Прошла любовь, завяли помидоры: слухи о разводе Пугачевой все больше похожи на правду;1
Силуанов пообещал опережающий рост МРОТ в России;1
Силуанов ответил на главный вопрос россиян о бюджете страны;1
«Проверят всех до единого». Пенсионеров, которым от 60 до 80 лет, ждет новый сюрприз с 27 октября;1
И работающим, и неработающим. Пенсионерам объявили о разовой выплате 10 000 рублей с 27 октября;1
«Сдохли несколько артистов»: Лолита разразилась нецензурной бранью;1
«Новая пассия»: непубличная Шаврина объявилась в обнимку с Шаляпиным;1
«Вот это новость»: Лобода вышла замуж;1
«Вот это женщина»: 70-летняя Понаровская произвела фурор в обтягивающем платье;1
Александр Ревва передумал уезжать из России;1
«Без косметики и после слез»: Волочкова не побоялась показать себя без прикрас;1
Комик с ТНТ устроил переполох на борту самолета: без полиции не обошлось;1
Поргину готовят к тяжелой операции: озвучен печальный диагноз врачей;1
Длинноволосой красотки больше нет: вот что сотворила с собой Барановская;1
Уже обручен: одна деталь выдала новый статус Киркорова;1
Яйца и не только... Названы продукты для мужского здоровья;1
Лучшие 8 продуктов, защищающие от рака: обязательно включите их в свой рацион;1
Самая полезная ягода для пожилых: она творит чудеса с мозгом даже при признаках деменции;1
Пять продуктов, которые нельзя держать в холодильнике: срочно достаньте их;1
Эти продукты – лучший источник кальция: они укрепят ваши кости;1
Не ешьте это на ужин: диетолог назвала худшие блюда для людей старше 50 лет;1
